prev_filename,filename,cell_type,xmin,xmax,ymin,ymax
00000009.jpg,9.jpg,stas,1279,1322,372,414
00000009.jpg,9.jpg,stas,1647,1702,74,118
00000010.jpg,10.jpg,stas,436,529,393,498
00000011.jpg,11.jpg,stas,418,511,358,459
00000012.jpg,12.jpg,stas,573,778,150,295
00000012.jpg,12.jpg,stas,1013,1128,306,507
00000012.jpg,12.jpg,stas,1135,1258,238,343
00000012.jpg,12.jpg,stas,1323,1413,168,234
00000013.jpg,13.jpg,stas,746,814,44,107
00000013.jpg,13.jpg,stas,1086,1140,332,381
00000013.jpg,13.jpg,stas,599,699,569,651
00000014.jpg,14.jpg,stas,531,640,189,284
00000014.jpg,14.jpg,stas,1416,1563,815,910
00000015.jpg,15.jpg,stas,667,776,555,660
00000015.jpg,15.jpg,stas,1598,1716,2,95
00000016.jpg,16.jpg,stas,891,1006,423,531
00000017.jpg,17.jpg,stas,744,840,400,498
00000018.jpg,18.jpg,stas,763,934,513,602
00000019.jpg,19.jpg,stas,105,323,166,582
00000019.jpg,19.jpg,stas,227,666,98,496
00000019.jpg,19.jpg,stas,679,878,327,661
00000020.jpg,20.jpg,stas,220,738,188,743
00000020.jpg,20.jpg,stas,1165,1260,237,365
00000021.jpg,21.jpg,stas,410,499,148,285
00000022.jpg,22.jpg,stas,982,1118,150,257
00000023.jpg,23.jpg,stas,351,741,249,572
00000023.jpg,23.jpg,stas,530,644,118,245
00000023.jpg,23.jpg,stas,713,787,327,388
00000023.jpg,23.jpg,stas,123,482,20,181
00000024.jpg,24.jpg,stas,982,1121,333,413
00000024.jpg,24.jpg,stas,365,485,392,463
00000025.jpg,25.jpg,stas,291,466,104,272
00000025.jpg,25.jpg,stas,491,564,54,103
00000025.jpg,25.jpg,stas,500,617,859,928
00000025.jpg,25.jpg,stas,1112,1256,799,874
00000026.jpg,26.jpg,stas,813,925,502,599
00000027.jpg,27.jpg,stas,560,740,523,669
00000028.jpg,28.jpg,stas,542,612,428,482
00000028.jpg,28.jpg,stas,601,761,490,658
00000028.jpg,28.jpg,stas,595,733,606,740
00000029.jpg,29.jpg,stas,650,739,415,514
00000030.jpg,30.jpg,stas,1172,1274,645,763
00000030.jpg,30.jpg,stas,1241,1340,593,658
00000030.jpg,30.jpg,stas,1640,1716,624,680
00000031.jpg,31.jpg,stas,835,1002,400,471
00000031.jpg,31.jpg,stas,587,725,671,732
00000031.jpg,31.jpg,stas,445,591,535,662
00000031.jpg,31.jpg,stas,433,531,478,543
00000032.jpg,32.jpg,stas,769,923,312,589
00000033.jpg,33.jpg,stas,867,993,694,793
00000033.jpg,33.jpg,stas,1174,1265,647,736
00000034.jpg,34.jpg,stas,942,1087,323,431
00000034.jpg,34.jpg,stas,998,1268,406,522
00000034.jpg,34.jpg,stas,402,456,599,659
00000034.jpg,34.jpg,stas,336,377,636,677
00000034.jpg,34.jpg,stas,1178,1241,262,335
00000034.jpg,34.jpg,stas,1276,1316,691,740
00000035.jpg,35.jpg,stas,658,734,312,372
00000036.jpg,36.jpg,stas,530,576,372,432
00000036.jpg,36.jpg,stas,688,740,509,602
00000037.jpg,37.jpg,stas,574,684,428,500
00000037.jpg,37.jpg,stas,33,75,1,41
00000038.jpg,38.jpg,stas,1040,1099,190,263
00000039.jpg,39.jpg,stas,224,321,83,187
00000040.jpg,40.jpg,stas,535,596,444,494
00000041.jpg,41.jpg,stas,712,777,432,513
00000042.jpg,42.jpg,stas,1173,1275,694,757
00000042.jpg,42.jpg,stas,1180,1252,762,811
00000043.jpg,43.jpg,stas,468,517,554,606
00000043.jpg,43.jpg,stas,428,496,581,662
00000043.jpg,43.jpg,stas,440,501,660,703
00000043.jpg,43.jpg,stas,403,435,551,583
00000044.jpg,44.jpg,stas,520,584,618,673
00000044.jpg,44.jpg,stas,555,634,341,428
00000045.jpg,45.jpg,stas,714,758,415,495
00000046.jpg,46.jpg,stas,685,744,485,535
00000047.jpg,47.jpg,stas,772,945,3,143
00000047.jpg,47.jpg,stas,897,974,93,160
00000047.jpg,47.jpg,stas,773,850,415,488
00000047.jpg,47.jpg,stas,782,949,428,565
00000047.jpg,47.jpg,stas,828,985,523,670
00000047.jpg,47.jpg,stas,462,813,647,880
00000047.jpg,47.jpg,stas,234,334,655,752
00000047.jpg,47.jpg,stas,272,403,800,880
00000047.jpg,47.jpg,stas,177,344,849,929
00000047.jpg,47.jpg,stas,286,347,374,482
00000047.jpg,47.jpg,stas,217,279,399,483
00000047.jpg,47.jpg,stas,294,365,140,189
00000047.jpg,47.jpg,stas,365,449,157,202
00000047.jpg,47.jpg,stas,641,727,90,155
00000048.jpg,48.jpg,stas,1243,1339,248,335
00000049.jpg,49.jpg,stas,641,765,394,510
00000049.jpg,49.jpg,stas,645,717,512,569
00000049.jpg,49.jpg,stas,367,443,114,212
00000050.jpg,50.jpg,stas,1268,1384,6,124
00000050.jpg,50.jpg,stas,1269,1340,128,183
00000050.jpg,50.jpg,stas,184,278,678,750
00000050.jpg,50.jpg,stas,38,138,244,390
00000050.jpg,50.jpg,stas,91,201,399,636
00000050.jpg,50.jpg,stas,30,91,440,518
00000050.jpg,50.jpg,stas,400,490,626,709
00000051.jpg,51.jpg,stas,428,600,323,459
00000051.jpg,51.jpg,stas,886,935,159,201
00000051.jpg,51.jpg,stas,691,925,38,250
00000052.jpg,52.jpg,stas,630,810,412,517
00000052.jpg,52.jpg,stas,613,667,382,443
00000053.jpg,53.jpg,stas,429,642,82,309
00000053.jpg,53.jpg,stas,318,372,387,518
00000054.jpg,54.jpg,stas,240,818,204,716
00000055.jpg,55.jpg,stas,145,242,189,267
00000056.jpg,56.jpg,stas,320,413,59,126
00000056.jpg,56.jpg,stas,280,363,215,310
00000056.jpg,56.jpg,stas,132,283,204,312
00000057.jpg,57.jpg,stas,891,997,290,385
00000057.jpg,57.jpg,stas,821,885,396,492
00000057.jpg,57.jpg,stas,913,1016,393,500
00000057.jpg,57.jpg,stas,390,631,678,902
00000058.jpg,58.jpg,stas,87,206,247,401
00000058.jpg,58.jpg,stas,713,777,293,350
00000058.jpg,58.jpg,stas,864,918,16,84
00000058.jpg,58.jpg,stas,549,678,306,365
00000059.jpg,59.jpg,stas,813,866,684,745
00000059.jpg,59.jpg,stas,651,742,533,605
00000059.jpg,59.jpg,stas,646,866,190,410
00000059.jpg,59.jpg,stas,677,894,404,563
00000060.jpg,60.jpg,stas,1189,1243,558,601
00000060.jpg,60.jpg,stas,633,686,21,63
00000060.jpg,60.jpg,stas,654,784,744,859
00000061.jpg,61.jpg,stas,88,240,26,173
00000061.jpg,61.jpg,stas,231,486,527,643
00000061.jpg,61.jpg,stas,789,849,184,252
00000061.jpg,61.jpg,stas,513,575,413,474
00000062.jpg,62.jpg,stas,254,371,668,794
00000063.jpg,63.jpg,stas,477,572,578,665
00000063.jpg,63.jpg,stas,765,889,715,845
00000063.jpg,63.jpg,stas,727,860,862,931
00000063.jpg,63.jpg,stas,291,343,423,480
00000063.jpg,63.jpg,stas,456,514,488,535
00000063.jpg,63.jpg,stas,523,580,476,507
00000064.jpg,64.jpg,stas,644,739,565,646
00000064.jpg,64.jpg,stas,1377,1599,679,795
00000064.jpg,64.jpg,stas,362,519,441,562
00000064.jpg,64.jpg,stas,544,645,837,916
00000065.jpg,65.jpg,stas,1211,1297,468,548
00000065.jpg,65.jpg,stas,969,1171,434,632
00000065.jpg,65.jpg,stas,1044,1163,625,713
00000065.jpg,65.jpg,stas,556,776,614,731
00000066.jpg,66.jpg,stas,1220,1320,394,443
00000067.jpg,67.jpg,stas,406,501,488,603
00000067.jpg,67.jpg,stas,410,543,680,750
00000068.jpg,68.jpg,stas,707,787,484,568
00000068.jpg,68.jpg,stas,68,149,483,578
00000068.jpg,68.jpg,stas,106,187,595,683
00000068.jpg,68.jpg,stas,1352,1430,269,338
00000069.jpg,69.jpg,stas,1099,1195,503,598
00000070.jpg,70.jpg,stas,234,316,236,325
00000070.jpg,70.jpg,stas,272,351,349,440
00000070.jpg,70.jpg,stas,874,952,237,325
00000070.jpg,70.jpg,stas,1517,1595,18,90
00000071.jpg,71.jpg,stas,656,708,287,352
00000071.jpg,71.jpg,stas,625,683,337,401
00000071.jpg,71.jpg,stas,699,753,615,711
00000071.jpg,71.jpg,stas,1619,1667,496,600
00000071.jpg,71.jpg,stas,1575,1611,776,831
00000072.jpg,72.jpg,stas,1509,1582,784,850
00000072.jpg,72.jpg,stas,924,1047,534,652
00000073.jpg,73.jpg,stas,1542,1618,380,446
00000074.jpg,74.jpg,stas,1040,1184,189,321
00000074.jpg,74.jpg,stas,689,785,245,365
00000074.jpg,74.jpg,stas,364,436,55,134
00000074.jpg,74.jpg,stas,645,695,340,392
00000075.jpg,75.jpg,stas,1114,1183,346,432
00000076.jpg,76.jpg,stas,1266,1363,474,535
00000077.jpg,77.jpg,stas,486,552,717,773
00000078.jpg,78.jpg,stas,480,595,433,534
00000078.jpg,78.jpg,stas,342,453,621,841
00000079.jpg,79.jpg,stas,716,858,500,674
00000080.jpg,80.jpg,stas,530,810,338,622
00000081.jpg,81.jpg,stas,774,935,409,616
00000081.jpg,81.jpg,stas,1319,1428,503,595
00000082.jpg,82.jpg,stas,336,494,549,687
00000082.jpg,82.jpg,stas,549,631,424,469
00000082.jpg,82.jpg,stas,141,176,663,701
00000083.jpg,83.jpg,stas,108,255,388,492
00000083.jpg,83.jpg,stas,674,741,460,520
00000083.jpg,83.jpg,stas,1452,1578,549,624
00000083.jpg,83.jpg,stas,797,849,660,716
00000083.jpg,83.jpg,stas,818,854,822,877
00000084.jpg,84.jpg,stas,380,528,729,835
00000084.jpg,84.jpg,stas,938,1011,801,861
00000085.jpg,85.jpg,stas,1122,1279,649,765
00000085.jpg,85.jpg,stas,927,960,765,803
00000085.jpg,85.jpg,stas,1335,1412,521,569
00000086.jpg,86.jpg,stas,443,508,467,546
00000086.jpg,86.jpg,stas,341,463,446,540
00000087.jpg,87.jpg,stas,411,446,648,687
00000087.jpg,87.jpg,stas,602,761,533,646
00000087.jpg,87.jpg,stas,820,896,405,449
00000087.jpg,87.jpg,stas,102,176,818,885
00000088.jpg,88.jpg,stas,557,616,804,867
00000088.jpg,88.jpg,stas,494,539,421,462
00000089.jpg,89.jpg,stas,621,736,354,512
00000090.jpg,90.jpg,stas,905,1243,365,518
00000090.jpg,90.jpg,stas,397,891,390,702
00000090.jpg,90.jpg,stas,387,431,311,354
00000091.jpg,91.jpg,stas,262,380,440,525
00000091.jpg,91.jpg,stas,131,233,611,707
00000091.jpg,91.jpg,stas,396,488,522,661
00000091.jpg,91.jpg,stas,431,483,485,521
00000091.jpg,91.jpg,stas,378,420,324,383
00000092.jpg,92.jpg,stas,1234,1296,516,602
00000092.jpg,92.jpg,stas,1255,1318,304,361
00000093.jpg,93.jpg,stas,1142,1239,256,379
00000094.jpg,94.jpg,stas,1035,1193,358,446
00000095.jpg,95.jpg,stas,1203,1358,296,414
00000096.jpg,96.jpg,stas,962,1041,291,377
00000096.jpg,96.jpg,stas,457,636,350,538
00000097.jpg,97.jpg,stas,376,516,501,618
00000098.jpg,98.jpg,stas,350,471,614,712
00000099.jpg,99.jpg,stas,1263,1383,168,261
00000099.jpg,99.jpg,stas,247,394,207,344
00000099.jpg,99.jpg,stas,322,411,482,565
00000100.jpg,100.jpg,stas,353,434,180,279
00000101.jpg,101.jpg,stas,378,467,532,606
00000102.jpg,102.jpg,stas,118,273,113,243
00000102.jpg,102.jpg,stas,63,132,269,315
00000102.jpg,102.jpg,stas,300,384,6,104
00000103.jpg,103.jpg,stas,409,464,372,432
00000103.jpg,103.jpg,stas,1523,1582,43,131
00000104.jpg,104.jpg,stas,374,456,246,303
00000105.jpg,105.jpg,stas,577,664,483,557
00000106.jpg,106.jpg,stas,320,431,407,478
00000107.jpg,107.jpg,stas,958,1036,576,676
00000107.jpg,107.jpg,stas,547,632,163,233
00000108.jpg,108.jpg,stas,687,777,59,154
00000108.jpg,108.jpg,stas,297,365,116,195
00000108.jpg,108.jpg,stas,674,764,556,666
00000109.jpg,109.jpg,stas,525,632,151,285
00000110.jpg,110.jpg,stas,676,767,190,265
00000110.jpg,110.jpg,stas,639,720,517,629
00000111.jpg,111.jpg,stas,263,307,437,483
00000111.jpg,111.jpg,stas,424,505,436,488
00000111.jpg,111.jpg,stas,552,735,344,506
00000111.jpg,111.jpg,stas,724,787,398,450
00000112.jpg,112.jpg,stas,1053,1138,460,613
00000112.jpg,112.jpg,stas,1165,1249,544,643
00000112.jpg,112.jpg,stas,1489,1551,262,345
00000112.jpg,112.jpg,stas,1534,1583,187,261
00000113.jpg,113.jpg,stas,1188,1247,543,605
00000114.jpg,114.jpg,stas,587,682,544,611
00000114.jpg,114.jpg,stas,383,483,432,488
00000115.jpg,115.jpg,stas,600,707,496,606
00000115.jpg,115.jpg,stas,603,700,671,744
00000116.jpg,116.jpg,stas,113,162,340,394
00000116.jpg,116.jpg,stas,354,412,567,638
00000116.jpg,116.jpg,stas,566,635,746,846
00000116.jpg,116.jpg,stas,493,525,352,395
00000116.jpg,116.jpg,stas,394,488,357,422
00000116.jpg,116.jpg,stas,421,465,244,277
00000117.jpg,117.jpg,stas,421,536,323,462
00000118.jpg,118.jpg,stas,455,495,277,324
00000119.jpg,119.jpg,stas,340,441,222,291
00000119.jpg,119.jpg,stas,123,175,103,182
00000120.jpg,120.jpg,stas,329,384,665,702
00000120.jpg,120.jpg,stas,129,178,390,441
00000121.jpg,121.jpg,stas,344,476,337,414
00000121.jpg,121.jpg,stas,279,340,394,471
00000121.jpg,121.jpg,stas,1429,1500,82,143
00000122.jpg,122.jpg,stas,769,862,516,709
00000122.jpg,122.jpg,stas,517,576,562,632
00000122.jpg,122.jpg,stas,574,638,550,622
00000122.jpg,122.jpg,stas,369,591,300,571
00000122.jpg,122.jpg,stas,177,224,184,238
00000122.jpg,122.jpg,stas,76,163,561,676
00000122.jpg,122.jpg,stas,139,210,434,498
00000122.jpg,122.jpg,stas,163,232,473,544
00000123.jpg,123.jpg,stas,664,785,195,393
00000123.jpg,123.jpg,stas,862,903,403,457
00000123.jpg,123.jpg,stas,493,627,350,510
00000123.jpg,123.jpg,stas,410,483,352,466
00000123.jpg,123.jpg,stas,25,176,261,362
00000123.jpg,123.jpg,stas,591,643,288,343
00000123.jpg,123.jpg,stas,855,1003,657,724
00000123.jpg,123.jpg,stas,923,969,729,773
00000124.jpg,124.jpg,stas,1385,1467,22,138
00000124.jpg,124.jpg,stas,1119,1290,133,232
00000124.jpg,124.jpg,stas,794,864,373,465
00000124.jpg,124.jpg,stas,535,593,173,273
00000124.jpg,124.jpg,stas,460,520,145,300
00000124.jpg,124.jpg,stas,209,358,109,174
00000124.jpg,124.jpg,stas,355,427,128,187
00000124.jpg,124.jpg,stas,165,258,163,224
00000125.jpg,125.jpg,stas,595,785,190,357
00000125.jpg,125.jpg,stas,451,499,327,373
00000125.jpg,125.jpg,stas,507,538,344,381
00000126.jpg,126.jpg,stas,993,1085,470,561
00000127.jpg,127.jpg,stas,831,891,360,426
00000128.jpg,128.jpg,stas,353,647,116,420
00000128.jpg,128.jpg,stas,141,224,328,416
00000128.jpg,128.jpg,stas,82,463,440,740
00000129.jpg,129.jpg,stas,797,899,136,217
00000130.jpg,130.jpg,stas,505,587,298,436
00000130.jpg,130.jpg,stas,616,749,404,547
00000131.jpg,131.jpg,stas,1113,1234,238,414
00000132.jpg,132.jpg,stas,795,1049,199,390
00000132.jpg,132.jpg,stas,933,1013,452,532
00000132.jpg,132.jpg,stas,1502,1593,723,873
00000132.jpg,132.jpg,stas,554,866,500,711
00000132.jpg,132.jpg,stas,372,446,235,336
00000132.jpg,132.jpg,stas,787,854,121,189
00000133.jpg,133.jpg,stas,1071,1152,87,185
00000133.jpg,133.jpg,stas,823,909,282,376
00000133.jpg,133.jpg,stas,783,896,665,751
00000133.jpg,133.jpg,stas,809,939,572,687
00000134.jpg,134.jpg,stas,721,809,290,394
00000135.jpg,135.jpg,stas,493,609,107,243
00000135.jpg,135.jpg,stas,740,908,683,845
00000135.jpg,135.jpg,stas,1147,1395,243,522
00000135.jpg,135.jpg,stas,1064,1153,381,534
00000135.jpg,135.jpg,stas,1384,1497,136,203
00000135.jpg,135.jpg,stas,1469,1633,177,294
00000136.jpg,136.jpg,stas,1100,1175,749,820
00000136.jpg,136.jpg,stas,752,887,578,715
00000136.jpg,136.jpg,stas,16,120,483,582
00000137.jpg,137.jpg,stas,680,886,535,767
00000138.jpg,138.jpg,stas,357,469,531,639
00000139.jpg,139.jpg,stas,223,394,323,537
00000140.jpg,140.jpg,stas,64,250,501,632
00000140.jpg,140.jpg,stas,209,385,604,798
00000141.jpg,141.jpg,stas,778,895,573,712
00000141.jpg,141.jpg,stas,702,803,715,784
00000141.jpg,141.jpg,stas,1182,1261,281,378
00000142.jpg,142.jpg,stas,656,769,476,567
00000142.jpg,142.jpg,stas,1462,1590,187,300
00000142.jpg,142.jpg,stas,1238,1290,129,183
00000143.jpg,143.jpg,stas,623,723,347,458
00000143.jpg,143.jpg,stas,331,413,600,693
00000144.jpg,144.jpg,stas,1089,1288,204,418
00000145.jpg,145.jpg,stas,1418,1533,102,180
00000145.jpg,145.jpg,stas,169,307,489,620
00000146.jpg,146.jpg,stas,624,761,282,402
00000146.jpg,146.jpg,stas,401,600,440,598
00000146.jpg,146.jpg,stas,179,322,451,602
00000147.jpg,147.jpg,stas,963,1057,285,382
00000147.jpg,147.jpg,stas,539,679,60,201
00000148.jpg,148.jpg,stas,165,279,314,517
00000149.jpg,149.jpg,stas,497,593,591,707
00000150.jpg,150.jpg,stas,469,627,662,787
00000151.jpg,151.jpg,stas,441,553,209,290
00000151.jpg,151.jpg,stas,498,700,420,544
00000151.jpg,151.jpg,stas,534,696,305,406
00000152.jpg,152.jpg,stas,165,263,355,473
00000152.jpg,152.jpg,stas,283,488,614,773
00000152.jpg,152.jpg,stas,366,453,400,495
00000152.jpg,152.jpg,stas,779,908,784,911
00000153.jpg,153.jpg,stas,342,540,292,398
00000153.jpg,153.jpg,stas,605,838,318,470
00000153.jpg,153.jpg,stas,351,698,547,712
00000154.jpg,154.jpg,stas,294,385,118,202
00000154.jpg,154.jpg,stas,398,542,171,326
00000154.jpg,154.jpg,stas,732,840,406,511
00000155.jpg,155.jpg,stas,674,785,763,872
00000155.jpg,155.jpg,stas,1261,1406,433,556
00000156.jpg,156.jpg,stas,1193,1429,682,887
00000156.jpg,156.jpg,stas,61,172,270,361
00000157.jpg,157.jpg,stas,572,765,481,666
00000157.jpg,157.jpg,stas,242,393,111,276
00000158.jpg,158.jpg,stas,823,980,299,425
00000159.jpg,159.jpg,stas,725,803,207,283
00000159.jpg,159.jpg,stas,276,330,731,805
00000160.jpg,160.jpg,stas,1073,1171,76,163
00000160.jpg,160.jpg,stas,534,642,255,387
00000161.jpg,161.jpg,stas,1340,1447,393,531
00000161.jpg,161.jpg,stas,562,738,160,443
00000161.jpg,161.jpg,stas,164,307,388,495
00000161.jpg,161.jpg,stas,35,116,851,922
00000161.jpg,161.jpg,stas,1268,1388,16,107
00000161.jpg,161.jpg,stas,1465,1522,691,784
00000162.jpg,162.jpg,stas,508,602,317,374
00000162.jpg,162.jpg,stas,132,206,325,387
00000162.jpg,162.jpg,stas,165,345,725,811
00000162.jpg,162.jpg,stas,609,757,592,767
00000162.jpg,162.jpg,stas,1168,1233,846,918
00000163.jpg,163.jpg,stas,393,487,132,227
00000164.jpg,164.jpg,stas,1201,1246,277,341
00000164.jpg,164.jpg,stas,1200,1265,489,591
00000164.jpg,164.jpg,stas,1140,1203,427,554
00000164.jpg,164.jpg,stas,564,644,206,311
00000164.jpg,164.jpg,stas,651,685,211,268
00000165.jpg,165.jpg,stas,1193,1344,394,517
00000166.jpg,166.jpg,stas,908,986,609,668
00000166.jpg,166.jpg,stas,869,982,657,837
00000166.jpg,166.jpg,stas,1208,1250,725,776
00000167.jpg,167.jpg,stas,923,1062,60,228
00000168.jpg,168.jpg,stas,771,855,584,665
00000168.jpg,168.jpg,stas,696,778,677,765
00000169.jpg,169.jpg,stas,1058,1161,159,221
00000169.jpg,169.jpg,stas,1445,1576,574,712
00000169.jpg,169.jpg,stas,580,661,535,668
00000169.jpg,169.jpg,stas,580,662,104,163
00000169.jpg,169.jpg,stas,362,720,105,372
00000169.jpg,169.jpg,stas,27,95,70,124
00000169.jpg,169.jpg,stas,1128,1283,681,866
00000169.jpg,169.jpg,stas,990,1050,762,814
00000169.jpg,169.jpg,stas,990,1029,812,844
00000169.jpg,169.jpg,stas,380,427,535,582
00000169.jpg,169.jpg,stas,313,375,506,584
00000169.jpg,169.jpg,stas,1123,1240,431,534
00000169.jpg,169.jpg,stas,1172,1263,523,592
00000170.jpg,170.jpg,stas,891,954,814,873
00000170.jpg,170.jpg,stas,789,861,225,340
00000170.jpg,170.jpg,stas,867,935,250,346
00000170.jpg,170.jpg,stas,772,844,433,513
00000171.jpg,171.jpg,stas,844,1125,616,817
00000172.jpg,172.jpg,stas,730,918,346,493
00000173.jpg,173.jpg,stas,705,873,357,521
00000173.jpg,173.jpg,stas,513,667,381,515
00000173.jpg,173.jpg,stas,116,186,24,81
00000173.jpg,173.jpg,stas,332,425,709,785
00000174.jpg,174.jpg,stas,585,706,325,460
00000175.jpg,175.jpg,stas,566,651,283,389
00000176.jpg,176.jpg,stas,616,752,427,551
00000177.jpg,177.jpg,stas,923,1068,349,522
00000178.jpg,178.jpg,stas,512,603,647,748
00000179.jpg,179.jpg,stas,485,567,348,466
00000180.jpg,180.jpg,stas,447,839,310,682
00000181.jpg,181.jpg,stas,806,876,532,582
00000181.jpg,181.jpg,stas,857,944,301,355
00000181.jpg,181.jpg,stas,557,625,248,337
00000181.jpg,181.jpg,stas,479,561,271,335
00000182.jpg,182.jpg,stas,650,740,172,254
00000183.jpg,183.jpg,stas,716,769,298,338
00000183.jpg,183.jpg,stas,1263,1333,474,565
00000183.jpg,183.jpg,stas,641,695,333,433
00000183.jpg,183.jpg,stas,1465,1513,869,907
00000184.jpg,184.jpg,stas,729,774,216,288
00000184.jpg,184.jpg,stas,687,868,355,545
00000185.jpg,185.jpg,stas,911,966,466,513
00000186.jpg,186.jpg,stas,532,683,577,696
00000186.jpg,186.jpg,stas,366,432,736,809
00000187.jpg,187.jpg,stas,1060,1139,458,539
00000187.jpg,187.jpg,stas,350,498,492,609
00000187.jpg,187.jpg,stas,168,254,560,613
00000187.jpg,187.jpg,stas,528,573,415,459
00000188.jpg,188.jpg,stas,469,623,212,333
00000189.jpg,189.jpg,stas,549,685,431,557
00000190.jpg,190.jpg,stas,547,713,520,682
00000190.jpg,190.jpg,stas,1031,1068,758,837
00000191.jpg,191.jpg,stas,269,453,202,295
00000191.jpg,191.jpg,stas,562,673,511,690
00000192.jpg,192.jpg,stas,440,552,287,368
00000192.jpg,192.jpg,stas,572,629,409,463
00000193.jpg,193.jpg,stas,895,1007,443,522
00000194.jpg,194.jpg,stas,682,735,443,498
00000194.jpg,194.jpg,stas,477,534,185,283
00000195.jpg,195.jpg,stas,618,750,393,507
00000196.jpg,196.jpg,stas,527,588,363,426
00000196.jpg,196.jpg,stas,568,616,438,491
00000197.jpg,197.jpg,stas,709,865,377,503
00000197.jpg,197.jpg,stas,752,791,500,534
00000198.jpg,198.jpg,stas,494,618,458,582
00000198.jpg,198.jpg,stas,1097,1167,315,387
00000199.jpg,199.jpg,stas,854,956,441,506
00000199.jpg,199.jpg,stas,784,850,427,467
00000199.jpg,199.jpg,stas,660,896,428,601
00000200.jpg,200.jpg,stas,586,657,574,650
00000200.jpg,200.jpg,stas,702,808,395,496
00000200.jpg,200.jpg,stas,624,713,466,531
00000201.jpg,201.jpg,stas,917,983,557,613
00000202.jpg,202.jpg,stas,776,834,556,648
00000203.jpg,203.jpg,stas,923,1044,280,433
00000204.jpg,204.jpg,stas,749,871,387,472
00000205.jpg,205.jpg,stas,497,535,545,613
00000205.jpg,205.jpg,stas,139,199,463,504
00000205.jpg,205.jpg,stas,574,625,521,602
00000205.jpg,205.jpg,stas,674,735,549,607
00000205.jpg,205.jpg,stas,613,674,598,618
00000206.jpg,206.jpg,stas,913,971,406,455
00000206.jpg,206.jpg,stas,978,1039,354,428
00000207.jpg,207.jpg,stas,1178,1476,356,548
00000207.jpg,207.jpg,stas,914,1167,333,472
00000207.jpg,207.jpg,stas,1295,1369,627,685
00000208.jpg,208.jpg,stas,310,460,29,179
00000208.jpg,208.jpg,stas,194,262,84,134
00000208.jpg,208.jpg,stas,232,322,206,299
00000209.jpg,209.jpg,stas,85,452,113,458
00000210.jpg,210.jpg,stas,561,852,603,749
00000210.jpg,210.jpg,stas,956,1022,545,610
00000210.jpg,210.jpg,stas,658,743,420,521
00000211.jpg,211.jpg,stas,942,1062,773,915
00000211.jpg,211.jpg,stas,794,897,588,828
00000212.jpg,212.jpg,stas,953,1018,355,424
00000212.jpg,212.jpg,stas,685,724,427,465
00000212.jpg,212.jpg,stas,799,869,673,740
00000212.jpg,212.jpg,stas,685,767,724,824
00000213.jpg,213.jpg,stas,1218,1290,255,341
00000213.jpg,213.jpg,stas,857,1125,335,491
00000213.jpg,213.jpg,stas,669,745,727,811
00000214.jpg,214.jpg,stas,386,463,405,492
00000214.jpg,214.jpg,stas,25,296,483,641
00000214.jpg,214.jpg,stas,1224,1349,404,615
00000214.jpg,214.jpg,stas,1424,1507,625,712
00000215.jpg,215.jpg,stas,623,687,323,434
00000215.jpg,215.jpg,stas,646,797,363,517
00000215.jpg,215.jpg,stas,1271,1425,636,752
00000216.jpg,216.jpg,stas,747,844,405,565
00000216.jpg,216.jpg,stas,678,745,827,910
